"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 30 09:28:51 GMT 2022","Wed Nov 30 09:28:52 GMT 2022","1369","Suite","chrome","com.dotdash.DynamicContentTests","com.dotdash.DynamicContentTests","contentShouldNotBeTheSame","contentShouldNotBeTheSame",""
"passed","Wed Nov 30 09:28:51 GMT 2022","Wed Nov 30 09:28:52 GMT 2022","1039","Suite","chrome","com.dotdash.FileDownloadTests","com.dotdash.FileDownloadTests","shouldDownloadFile","shouldDownloadFile",""
"passed","Wed Nov 30 09:28:45 GMT 2022","Wed Nov 30 09:28:46 GMT 2022","751","Suite","chrome","com.dotdash.JavaScriptAlertTests","com.dotdash.JavaScriptAlertTests","shouldTypeInJsAlert","shouldTypeInJsAlert",""
"passed","Wed Nov 30 09:28:43 GMT 2022","Wed Nov 30 09:28:45 GMT 2022","1050","Suite","chrome","com.dotdash.CheckboxesTest","com.dotdash.CheckboxesTest","mustCheckAndUncheckSecondCheckbox","mustCheckAndUncheckSecondCheckbox",""
"passed","Wed Nov 30 09:28:43 GMT 2022","Wed Nov 30 09:28:44 GMT 2022","1423","Suite","chrome","com.dotdash.NotificationMessageTests","com.dotdash.NotificationMessageTests","shouldValidateNotificationMessage","shouldValidateNotificationMessage",""
"passed","Wed Nov 30 09:28:45 GMT 2022","Wed Nov 30 09:28:46 GMT 2022","597","Suite","chrome","com.dotdash.JavaScriptAlertTests","com.dotdash.JavaScriptAlertTests","shouldConfirmJsAlert","shouldConfirmJsAlert",""
"passed","Wed Nov 30 09:28:48 GMT 2022","Wed Nov 30 09:28:49 GMT 2022","582","Suite","chrome","com.dotdash.DropdownTests","com.dotdash.DropdownTests","shouldSelectSecondOption","shouldSelectSecondOption",""
"passed","Wed Nov 30 09:28:47 GMT 2022","Wed Nov 30 09:28:48 GMT 2022","644","Suite","chrome","com.dotdash.DropdownTests","com.dotdash.DropdownTests","shouldSelectFirstOption","shouldSelectFirstOption",""
"passed","Wed Nov 30 09:28:49 GMT 2022","Wed Nov 30 09:28:50 GMT 2022","756","Suite","chrome","com.dotdash.MouseHoverTests","com.dotdash.MouseHoverTests","shouldSeeHoveredInformation","shouldSeeHoveredInformation",""
"passed","Wed Nov 30 09:28:47 GMT 2022","Wed Nov 30 09:28:54 GMT 2022","7587","Suite","chrome","com.dotdash.DynamicControlTests","com.dotdash.DynamicControlTests","shouldRemoveAndAddCheckbox","shouldRemoveAndAddCheckbox",""
"passed","Wed Nov 30 09:28:43 GMT 2022","Wed Nov 30 09:28:44 GMT 2022","1402","Suite","chrome","com.dotdash.DragAndDropTests","com.dotdash.DragAndDropTests","shouldSwitchSquares","shouldSwitchSquares",""
"passed","Wed Nov 30 09:28:48 GMT 2022","Wed Nov 30 09:28:50 GMT 2022","2249","Suite","chrome","com.dotdash.IframeTests","com.dotdash.IframeTests","shouldBeAbleToTypeOnIframe","shouldBeAbleToTypeOnIframe",""
"passed","Wed Nov 30 09:28:48 GMT 2022","Wed Nov 30 09:28:49 GMT 2022","874","Suite","chrome","com.dotdash.FloatingMenuTests","com.dotdash.FloatingMenuTests","shouldSeeFloatingMenuWhenScroll","shouldSeeFloatingMenuWhenScroll",""
