"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 30 09:09:50 GMT 2022","Wed Nov 30 09:09:52 GMT 2022","1642","Suite","chrome","com.dotdash.LoginTests","com.dotdash.LoginTests","mustLoginSuccessfully","mustLoginSuccessfully",""
"passed","Wed Nov 30 09:09:43 GMT 2022","Wed Nov 30 09:09:44 GMT 2022","687","Suite","chrome","com.dotdash.OpenInNewTabTests","com.dotdash.OpenInNewTabTests","shouldSeeTextInSwitchedTab","shouldSeeTextInSwitchedTab",""
"passed","Wed Nov 30 09:09:54 GMT 2022","Wed Nov 30 09:09:59 GMT 2022","5563","Suite","chrome","com.dotdash.DynamicLoadingTests","com.dotdash.DynamicLoadingTests","shouldSeeHelloWorld","shouldSeeHelloWorld",""
"passed","Wed Nov 30 09:09:44 GMT 2022","Wed Nov 30 09:09:45 GMT 2022","548","Suite","chrome","com.dotdash.JavaScriptAlertTests","com.dotdash.JavaScriptAlertTests","shouldTypeInJsAlert","shouldTypeInJsAlert",""
"passed","Wed Nov 30 09:09:53 GMT 2022","Wed Nov 30 09:09:53 GMT 2022","451","Suite","chrome","com.dotdash.ContextMenuTests","com.dotdash.ContextMenuTests","shouldOpenAlertAfterRightClick","shouldOpenAlertAfterRightClick",""
"passed","Wed Nov 30 09:09:45 GMT 2022","Wed Nov 30 09:09:46 GMT 2022","588","Suite","chrome","com.dotdash.JavaScriptErrorTests","com.dotdash.JavaScriptErrorTests","shouldValidateError","shouldValidateError",""
"passed","Wed Nov 30 09:09:46 GMT 2022","Wed Nov 30 09:09:48 GMT 2022","2864","Suite","chrome","com.dotdash.IframeTests","com.dotdash.IframeTests","shouldBeAbleToTypeOnIframe","shouldBeAbleToTypeOnIframe",""
"passed","Wed Nov 30 09:09:43 GMT 2022","Wed Nov 30 09:09:44 GMT 2022","958","Suite","chrome","com.dotdash.JavaScriptAlertTests","com.dotdash.JavaScriptAlertTests","shouldShowJSAlert","shouldShowJSAlert",""
"passed","Wed Nov 30 09:09:40 GMT 2022","Wed Nov 30 09:09:42 GMT 2022","1544","Suite","chrome","com.dotdash.CheckboxesTest","com.dotdash.CheckboxesTest","mustCheckAndUncheckFirstCheckbox","mustCheckAndUncheckFirstCheckbox",""
"passed","Wed Nov 30 09:09:46 GMT 2022","Wed Nov 30 09:09:54 GMT 2022","7723","Suite","chrome","com.dotdash.DynamicControlTests","com.dotdash.DynamicControlTests","shouldEnableAndDisableButton","shouldEnableAndDisableButton",""
"passed","Wed Nov 30 09:09:40 GMT 2022","Wed Nov 30 09:09:42 GMT 2022","2465","Suite","chrome","com.dotdash.FileUploadTests","com.dotdash.FileUploadTests","shouldUploadFile","shouldUploadFile",""
"passed","Wed Nov 30 09:09:47 GMT 2022","Wed Nov 30 09:09:48 GMT 2022","713","Suite","chrome","com.dotdash.DropdownTests","com.dotdash.DropdownTests","shouldSelectSecondOption","shouldSelectSecondOption",""
"passed","Wed Nov 30 09:09:49 GMT 2022","Wed Nov 30 09:09:50 GMT 2022","1028","Suite","chrome","com.dotdash.FloatingMenuTests","com.dotdash.FloatingMenuTests","shouldSeeFloatingMenuWhenScroll","shouldSeeFloatingMenuWhenScroll",""
