"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 30 09:35:04 GMT 2022","Wed Nov 30 09:35:08 GMT 2022","3542","Suite","firefox","com.dotdash.JavaScriptAlertTests","com.dotdash.JavaScriptAlertTests","shouldConfirmJsAlert","shouldConfirmJsAlert",""
"passed","Wed Nov 30 09:36:05 GMT 2022","Wed Nov 30 09:36:06 GMT 2022","1212","Suite","chrome","com.dotdash.NotificationMessageTests","com.dotdash.NotificationMessageTests","shouldValidateNotificationMessage","shouldValidateNotificationMessage",""
"passed","Wed Nov 30 09:35:22 GMT 2022","Wed Nov 30 09:35:32 GMT 2022","10444","Suite","firefox","com.dotdash.DynamicControlTests","com.dotdash.DynamicControlTests","shouldEnableAndDisableButton","shouldEnableAndDisableButton",""
"passed","Wed Nov 30 09:34:54 GMT 2022","Wed Nov 30 09:34:58 GMT 2022","3479","Suite","firefox","com.dotdash.FileUploadTests","com.dotdash.FileUploadTests","shouldUploadFile","shouldUploadFile",""
"passed","Wed Nov 30 09:35:36 GMT 2022","Wed Nov 30 09:35:39 GMT 2022","3374","Suite","firefox","com.dotdash.MouseHoverTests","com.dotdash.MouseHoverTests","shouldSeeHoveredInformation","shouldSeeHoveredInformation",""
"passed","Wed Nov 30 09:36:06 GMT 2022","Wed Nov 30 09:36:06 GMT 2022","609","Suite","chrome","com.dotdash.CheckboxesTest","com.dotdash.CheckboxesTest","mustCheckAndUncheckSecondCheckbox","mustCheckAndUncheckSecondCheckbox",""
"passed","Wed Nov 30 09:35:33 GMT 2022","Wed Nov 30 09:35:34 GMT 2022","1074","Suite","firefox","com.dotdash.DropdownTests","com.dotdash.DropdownTests","shouldSelectSecondOption","shouldSelectSecondOption",""
"passed","Wed Nov 30 09:36:08 GMT 2022","Wed Nov 30 09:36:09 GMT 2022","500","Suite","chrome","com.dotdash.JavaScriptAlertTests","com.dotdash.JavaScriptAlertTests","shouldShowJSAlert","shouldShowJSAlert",""
"passed","Wed Nov 30 09:35:54 GMT 2022","Wed Nov 30 09:36:03 GMT 2022","8893","Suite","firefox","com.dotdash.DynamicLoadingTests","com.dotdash.DynamicLoadingTests","shouldSeeHelloWorld","shouldSeeHelloWorld",""
"passed","Wed Nov 30 09:36:10 GMT 2022","Wed Nov 30 09:36:11 GMT 2022","710","Suite","chrome","com.dotdash.DropdownTests","com.dotdash.DropdownTests","shouldSelectSecondOption","shouldSelectSecondOption",""
"passed","Wed Nov 30 09:36:14 GMT 2022","Wed Nov 30 09:36:15 GMT 2022","1030","Suite","chrome","com.dotdash.FileDownloadTests","com.dotdash.FileDownloadTests","shouldDownloadFile","shouldDownloadFile",""
