"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 30 09:04:00 GMT 2022","Wed Nov 30 09:04:01 GMT 2022","1310","Suite","chrome","com.dotdash.NotificationMessageTests","com.dotdash.NotificationMessageTests","shouldValidateNotificationMessage","shouldValidateNotificationMessage",""
"passed","Wed Nov 30 09:04:00 GMT 2022","Wed Nov 30 09:04:01 GMT 2022","950","Suite","chrome","com.dotdash.DragAndDropTests","com.dotdash.DragAndDropTests","shouldSwitchSquares","shouldSwitchSquares",""
"passed","Wed Nov 30 09:04:04 GMT 2022","Wed Nov 30 09:04:04 GMT 2022","325","Suite","chrome","com.dotdash.JavaScriptErrorTests","com.dotdash.JavaScriptErrorTests","shouldValidateError","shouldValidateError",""
"passed","Wed Nov 30 09:04:02 GMT 2022","Wed Nov 30 09:04:03 GMT 2022","803","Suite","chrome","com.dotdash.OpenInNewTabTests","com.dotdash.OpenInNewTabTests","shouldSeeTextInSwitchedTab","shouldSeeTextInSwitchedTab",""
"passed","Wed Nov 30 09:04:09 GMT 2022","Wed Nov 30 09:04:10 GMT 2022","1086","Suite","chrome","com.dotdash.DynamicContentTests","com.dotdash.DynamicContentTests","contentShouldNotBeTheSame","contentShouldNotBeTheSame",""
"passed","Wed Nov 30 09:04:04 GMT 2022","Wed Nov 30 09:04:04 GMT 2022","407","Suite","chrome","com.dotdash.JavaScriptAlertTests","com.dotdash.JavaScriptAlertTests","shouldShowJSAlert","shouldShowJSAlert",""
"passed","Wed Nov 30 09:04:06 GMT 2022","Wed Nov 30 09:04:07 GMT 2022","1705","Suite","chrome","com.dotdash.IframeTests","com.dotdash.IframeTests","shouldBeAbleToTypeOnIframe","shouldBeAbleToTypeOnIframe",""
"passed","Wed Nov 30 09:04:01 GMT 2022","Wed Nov 30 09:04:02 GMT 2022","1135","Suite","chrome","com.dotdash.CheckboxesTest","com.dotdash.CheckboxesTest","mustCheckAndUncheckFirstCheckbox","mustCheckAndUncheckFirstCheckbox",""
"passed","Wed Nov 30 09:04:03 GMT 2022","Wed Nov 30 09:04:04 GMT 2022","555","Suite","chrome","com.dotdash.JavaScriptAlertTests","com.dotdash.JavaScriptAlertTests","shouldTypeInJsAlert","shouldTypeInJsAlert",""
"passed","Wed Nov 30 09:04:08 GMT 2022","Wed Nov 30 09:04:08 GMT 2022","817","Suite","chrome","com.dotdash.MouseHoverTests","com.dotdash.MouseHoverTests","shouldSeeHoveredInformation","shouldSeeHoveredInformation",""
"passed","Wed Nov 30 09:04:05 GMT 2022","Wed Nov 30 09:04:12 GMT 2022","7266","Suite","chrome","com.dotdash.DynamicControlTests","com.dotdash.DynamicControlTests","shouldRemoveAndAddCheckbox","shouldRemoveAndAddCheckbox",""
"passed","Wed Nov 30 09:04:08 GMT 2022","Wed Nov 30 09:04:10 GMT 2022","1598","Suite","chrome","com.dotdash.LoginTests","com.dotdash.LoginTests","mustFailLogin","mustFailLogin",""
"passed","Wed Nov 30 09:04:05 GMT 2022","Wed Nov 30 09:04:06 GMT 2022","678","Suite","chrome","com.dotdash.DropdownTests","com.dotdash.DropdownTests","shouldSelectFirstOption","shouldSelectFirstOption",""
"passed","Wed Nov 30 09:04:10 GMT 2022","Wed Nov 30 09:04:11 GMT 2022","1371","Suite","chrome","com.dotdash.FileDownloadTests","com.dotdash.FileDownloadTests","shouldDownloadFile","shouldDownloadFile",""
"passed","Wed Nov 30 09:04:08 GMT 2022","Wed Nov 30 09:04:10 GMT 2022","1413","Suite","chrome","com.dotdash.LoginTests","com.dotdash.LoginTests","mustLoginSuccessfully","mustLoginSuccessfully",""
"passed","Wed Nov 30 09:04:02 GMT 2022","Wed Nov 30 09:04:03 GMT 2022","972","Suite","chrome","com.dotdash.JavaScriptAlertTests","com.dotdash.JavaScriptAlertTests","shouldConfirmJsAlert","shouldConfirmJsAlert",""
"passed","Wed Nov 30 09:04:00 GMT 2022","Wed Nov 30 09:04:01 GMT 2022","996","Suite","chrome","com.dotdash.CheckboxesTest","com.dotdash.CheckboxesTest","mustCheckAndUncheckSecondCheckbox","mustCheckAndUncheckSecondCheckbox",""
"passed","Wed Nov 30 09:04:06 GMT 2022","Wed Nov 30 09:04:07 GMT 2022","976","Suite","chrome","com.dotdash.DropdownTests","com.dotdash.DropdownTests","shouldSelectSecondOption","shouldSelectSecondOption",""
"passed","Wed Nov 30 09:04:06 GMT 2022","Wed Nov 30 09:04:07 GMT 2022","978","Suite","chrome","com.dotdash.FloatingMenuTests","com.dotdash.FloatingMenuTests","shouldSeeFloatingMenuWhenScroll","shouldSeeFloatingMenuWhenScroll",""
"passed","Wed Nov 30 09:04:01 GMT 2022","Wed Nov 30 09:04:02 GMT 2022","872","Suite","chrome","com.dotdash.FileUploadTests","com.dotdash.FileUploadTests","shouldUploadFile","shouldUploadFile",""
